pecūnia, -ae, f., mouey; 21
per, prep. + acc.; through, along; 6, 9
      per iōcum; as a prank; 16
perīculōsus, -a, -um; dangerous; 17
perīculum, -ī, n.; danger; 14, 15
pernoctō, -āre, -āvī, -ātūrus; to spend the night; 17, 18
perterritus, -a, -um; frightened, terrified; 5
perveniō, pervenīre, pervēnī, perventus; to arrive (at), reach; 25
pes, pedis, m.; foot; 13
petō, petere, petīvī, petītus; to look for, seek, head for, aim at, attack; 5, 21
pictūra, -ae, f.; picture; 1
pila, -ae, f.; ball; 16
      pilā lūdere; to play ball; 16
pīrāta, -ae, m.; pirate; 21
piscīna, -ae, f;.fishpond; 3
placidē, adv.; gently, peacefully; 14
plaustrum, -ī, n.; wagon, cart; 15
plēnus, -a, -um; full; 11
pluit, pluere, pluit; it rains, is raining; 23
poēta, -ae, m.; poet; 25
Pompeiī, -ōrum, m. pl.; Pompeii;
pōnō, pōnere, posuī, positus; to put, place; 10, 21
pons, pontis, gen. pl., pontium, m.; bridge; 23
porta, -ae, f.; gate; 11
portō, -āre, -āvī, -ātus; to carry; 6
possum, posse, potui, irreg.; to be able; I can; 5, 14, 21
      poterat; (he/she/it) was able, could; 13
      potest; (he/she/it) is able, can; 5
post, prep.+ acc.; after; 20
postis, postis, gen. pl., postium, m.; doorpost; 25
postquam, conj.; after; 20
postrīdiē, adv.; on the following day; 26
praecpitō, -āre, -āvī, .-ātus; to hurl; 18
sē praecipitāre; to hurl oneself, rush; 18
praeclārus, -a, -um; distinguished, famous; 13
praecurrō, praecurrere, praecurrī, praecursūrus; to run ahead; 18
praedō, praedōnis, m.; robber; 26
praeter, prep. + acc.; except; 21
praetereā, adv.; besides, too, moreover; 15
praetereō, praeterīre, praeteriī or praeterīvī, praeteritus, irreg.; to go past; 15
praetexta, toga, -ae, f.; toga with purple border; 10
prasinus, -a, -um; green; 27
prīmus, -a, -um; first; 21
      prīmā luce; at dawn; 21
      prīmum, adv.; first 23
prīnceps, prīncipis, m.; emperor; 7
procul, adv.; in the distance, far off, far; 15
prōmittō, prōmittere, prōmīsī, prōmissus; to promise; 9
prope, prep.+ acc.; near; 5, 9
propter, prep. + acc.; on account of, because of; 26
puella, -ae, f.; girl; 1
puer, puerī, m.; boy; 3
pulvis, pulveris, m.; dust; 15
pūniō, pūnīre, pūnīvī, pūnītus; to punish; 21
pūrgō, -āre, -āvī, -ātus; to clean; 6
quadrātus, -a, -um; squared; 25
quadrīgae, -ārum, f. pl.; team of four horses, chariot; 27
quae; who; 1, 11
Quālis…? Quālis…? Quāle…?; What sort of…?; 4, 18
Quam ... ! adv.; How … !; 13
Quam ... ? adv.; How … ?; 
quamquam, conj.; although; 11
Quandō ... ? adv.; When ... ?; 12, 21
quattuor; four; 15
Quem ... ?; Whom … ?; 5
quem; whom, which, that; 24
quī, quae, quod; who, which, that; 1, 3, 14
Quī ... ?; Who ... ? (pl.); 6
Quibuscum ... ?; With whom … ?; 12
Quid ... ?; What … ?; 1 , 4
      Quid agis?; How are you?; 18
      Quid facit … ?; What does … do? What is … doing?; 1
      Quid fēcit … ?; What did … do?; 19
quīdam, quaedam, quoddam; (a) certain; 10
quiēs, quiētis, f.; rest; 23 •
      sē quiētī dare; to rest; 23
quiēscō, quiēscere, quiēvī, quiētūrus; to rest, keep quiet; 13, 23
quīngentī, -ae, -a; five hundred; 15
quīnquāgintā, fifty; 15
quīnque; five; 15
quīntus, -a, -um; ftfth; 26
Quis ... ? Quid ... ?; Who ... ? What … ?; 1, 4
      Quid agis?; How are you?; 18
      Quid facit. .. ?; What does ... do? What is … doing?; 1
      Quid fēcit ... ?; What did .. . do?; 19
Quō … ? adv.; Where . . . to?; 4
Quōcum ... ?; With whom … ?; 12
quod; (see quī, quae, quod);
quod, conj.; because; 1
Quō īnstrūmentō ... ?; With what instrument … ? By what means … ? How?; 12
Quōmodo ... ? adv.; In what mannner … ? In what way … ? How … ?; 12
quoque, adv.; also; 1, 13
Quōs ... ?; Whom … ?; 7
Quot … ?; How many… ?; 15
raeda, raedae, f.; carrriage; 10
raedārius, -ī, m.; coachman, driver; 10
rāmus, -ī, m.; branch 4
recuperō, -āre, -āvī, -ātus; to recover; 21
	animum recuperāre; to regain one's senses, wake up; 11
redeō, redīre, rediī or redīvī, reditūrus, irreg.; to return, go back; 7, 13
reditus, -ūs, m.; return; 25
relinquō, relinquere, relīquī, relictus; to leave behind; 16, 21
removeō, removēre, remōvī, remōtus; to remove, move aside; 21
repellō, repellere, reppulī, repulsus; to drive off, drive back; 5
reprehendō, reprehendere, reprehendī, reprehensus; to blame, scold, reprove; 6
rēs, rēī, f. , thing, matter, situation; 19, 25
	rem explicāre; to explain the situation; 19
respondeō, respondēre, respondī, responsūrus; to reply; 5, 11
revocō, -āre, -āvī, -ātus; to recall, call back; 7
rīdeō, rīdēre, rīsī, risus; to laugh (at), smile; 3, 21
rimōsus, -a, -um; full of cracks, leaky; 23
rīsus, -ūs, m.; smile, laugh; 13, 25
magnō rīsū; with a loud laugh; 13
rīvus, -ī, m.; stream; 5
rogō, -āre, -āvī, -ātus; to ask; 12
Rōma, -ae, f.; Rome; 7
