 -a, -um",adjective,"nearest, next",2.1,2.1,N/A,4,N/A
 -avi, -atum",verb,"(with dat. or ad + acc.) to approach; come near to, draw near (space/time)",1.3,2.1,N/A,1,N/A
"cedo, -ere, cessi, cessum",verb,"to go from, give place, withdraw, go away, depart, yield, move",5.3,5.3,N/A,2,304
"celebro, -are, -avi, -atum",verb,"to celebrate, perform; frequent; honor; publicize; discuss",2.1,2.1,N/A,1,893
"celer, -eris, -ere",adjective,"swift, fleet, quick, speedy",5.1,5.1,N/A,3,745
"celeritas, -atis (f.)",noun,"speed, quickness; speed of action; haste",4.1,N/A,N/A,0,N/A
"celo, -are, -avi, -atum",verb,"to hide something from one, keep secret, conceal",4.1,N/A,N/A,0,N/A
"cena, -ae (f.)",noun,"dinner, principal Roman meal (evening); course, meal",1.3,N/A,N/A,0,N/A
"ceno, -are, -avi, -atum",verb,"to dine (on), eat, have dinner with",1.3,N/A,N/A,0,N/A
"certamen, certaminis (n.)",noun,"contest, competition; battle, combat, struggle; rivalry, dispute",1.4,N/A,N/A,0,N/A
"certus, -a, -um",adjective,"determined, resolved, fixed, settled, purposed, certain",1.4,2.1,N/A,3,285
"ceterus, -a, -um",adjective,"the other, remainder, rest",1.4,2.2,N/A,3,596
"cibus, -i (m.)",noun,"food; eating, a meal",1.2,N/A,N/A,0,863
"cingo, -ere, -xi, -nctum",verb,"to go around, surround, encompass, gird, wreathe, crown",2.4,2.4,N/A,3,814
"cinis, -eris (m.)",noun,ashes,2.1,2.1,6.1,6,779
"civis, -is (m. or f.)",noun,citizen,4.6,4.6,N/A,1,471
"civitas, -atis (f.)",noun,"city, state; citizenship",3.4,3.4,N/A,7,346
"clamo, -are, -avi, -atum",verb,"to call, cry out, shout aloud; complain loudly",5.3,N/A,N/A,0,N/A
"clamor, -is (m.)",noun,"shout, cry; loud shouting; applause; a loud noise, roar; a battle-cry",2.4,2.4,N/A,2,605
"clarus, -a, -um",adjective,"clear, bright, shining, brilliant",5.1,N/A,N/A,0,395
"classis, -is (f.)",noun,"class, great division; (fig.) army, a fleet",1.4,2.1,6.2,3,505
"Claudia, -ae (f.)",noun (proper),a Roman female name (nomen – name of a Roman gens),1.2,N/A,N/A,0,N/A
"claudo, -ere, -si, -sum",verb,"to shut, close, shut up",1.3,2.2,N/A,3,392
"cliens, -entis",noun,"client, dependent (of a patron); client state or its citizens, allies",5.3,N/A,N/A,0,N/A
"clipeus, -i (m.)",noun,round shield of metal,4.6,4.6,N/A,3,N/A
"coepio, -ere, coepi, coeptum",verb,"to begin, commence",2.3,2.3,6.2,4,312
"cognosco, -ere, cognovi, cognitum",verb,"to become acquainted with, acquire knowledge of, learn, understand, recognize",1.4,2.1,N/A,2,339
"cogo, -ere, coegi, coactum",verb,"to drive together, bring together, convene, compel, force",2.4,2.4,N/A,2,250
"colo, -ere, colui, cultum",verb,"to till, tend, care for, cultivate",4.4,4.4,N/A,3,333
"coma, -ae (f.)",noun,"hair of the head, hair",5.1,N/A,N/A,0,405
"comes, -itis (m.)",noun,"companion, associate, comrade, partner",3.1,3.1,6.2,4,448
"committo, -ere, -misi, -missum",verb,"to bring together, join, combine, put together, connect, unite",2.3,2.3,N/A,3,608
"commodus, -a, -um",adjective,"suitable, convenient; timely; favorable, lucky; desirable, agreeable",5.3,N/A,N/A,0,N/A
"commoveo, -ere, -movi, -motum",verb,"to shake, stir up; start, provoke; displace, trouble, upset; jolt awake",5.6,N/A,N/A,0,N/A
"comparo, -are, -avi, -atum",verb,"to place together, join; compare, consider; prepare, acquire; arrange, establish",5.6,N/A,N/A,0,890
"compono, -ere, -posui, -positum",verb,"to bring together, place together, join, connect",5.1,5.2,N/A,2,443
"condo, -ere, -didi, -ditum",verb,"to put together, found, establish, build, settle",1.4,2.1,N/A,7,540
"coniunx, -iugis (m. or f.)",noun,"married person, spouse, husband, wife",2.4,2.4,6.1,7,218
"consido, -ere, -sedi, -sessum",verb,"to sit down, be seated; sit (judge); sink, stop, settle; take up a position",2.4,2.4,N/A,1,N/A
"consilium, -i (n.)",noun,"council, body of counsellors; a plan, purpose, intention",1.3,2.1,N/A,3,217
"conspicio, -ere, -spexi, -spectum",verb,"to look at (closely), contemplate, perceive, observe",1.1,2.1,N/A,1,N/A
"constituo, -ere, -ui, -utum",verb,"to set up; place, locate; stop; decide, appoint; station (troops); establish, create; arrange",5.6,N/A,N/A,0,652
"consul, -is (m.)",noun,consul,5.1,N/A,N/A,0,321
"consulo, -ere, -ui, -tum",verb,"to meet and consider, reflect, consult, look out, be mindful",2.3,2.3,N/A,3,757
"consumo, -ere, -sumpsi, -sumptum",verb,"to burn up, destroy; reduce, wear away; extinguish, exhaust; devour, consume; spend, squander",6.1,N/A,N/A,0,869
"contendo, -ere, -tendi, -tentum",verb,"to stretch, draw tight; to draw, bend; to tune; to stretch out for, rush to, travel; be in a hurry; direct",6.2,N/A,N/A,0,N/A
"contingo, -ere, -tigi, -tactum",verb,"to touch, reach, take hold of, seize",4.4,4.5,N/A,2,494
"conubium, -i (n.)",noun,marriage,5.1,5.1,N/A,3,N/A
"copia, -ae (f.)",noun,"abundance, ample supply, plenty; (in plural) troops, forces",1.4,2.1,N/A,2,331
"coquo, -ere, coxi, coctum",verb,"to cook; burn, parch; consider, plan",5.4,5.5,N/A,1,N/A
"Cornelia, -ae (f.)",noun (proper),a Roman female name (nomen – name of a Roman gens),1.1,N/A,N/A,0,N/A
"cornu, -us (n.)",noun,"horn; hoof; beak, claw; bow; horn, trumpet; end, wing of an army",5.4,5.4,N/A,1,591
"corpus, -oris (n.)",noun,body (living or lifeless),1.2,2.2,N/A,14,75
"corripio, -ere, -ripui, -reptum",verb,"to seize, snatch up, grasp, collect, take hold of, arrest",2.3,2.3,N/A,5,N/A
"credo, -ere, -didi, -ditum",verb,"(with dat.) to believe, trust; to confide in, have confidence in",1.3,2.1,N/A,13,109
"cresco, -ere, crevi, cretum",verb,"to come into being, spring up, arise, be born, grow",2.1,2.1,N/A,3,609
"crimen, -inis (n.)",noun,"judgment, charge, crime, accusation, reproach",5.4,N/A,N/A,0,475
"crudelis, -e",adjective,"rude, unfeeling, hard, hard-hearted, cruel, severe, fierce",5.1,5.2,N/A,3,N/A
"cubiculum, -i (n.)",noun,"bedroom, room",1.1,2.2,N/A,2,N/A
"culina, -ae (f.)",noun,kitchen,1.2,N/A,N/A,0,N/A
"cunctor, -ari, -atus sum",verb,"to delay, linger, loiter; hesitate, doubt",2.1,2.1,N/A,3,N/A
"cunctus, -a, -um",adjective,"all together, whole, all, entire",4.6,4.6,N/A,1,292
"cupiditas, -atis (f.)",noun,"desire, lust, greed, enthusiasm, eagerness, passion",4.1,N/A,N/A,0,N/A
"cupio, -ere, -ivi, -itum",verb,"to long for, desire, wish",2.3,2.3,N/A,2,441
"cura, -ae (f.)",noun,"trouble, care, concern, attention, pains, industry, diligence, exertion",3.6,3.6,N/A,5,186
"curo, -are, -avi, -atum",verb,"to care, provide for; be attentive to; take charge of; heal, cure",2.4,2.4,N/A,2,743
"curro, -ere, cucurri, cursum",verb,"to run, move quickly, travel quickly",1.3,N/A,N/A,0,562
"currus, -us (m.)",noun,"chariot, car, wagon",4.4,4.4,N/A,1,491
"cursus, -us (m.)",noun,"running, course, way, march, passage, voyage, journey",1.4,2.1,6.1,5,351
"custodio, -ire, -ivi, -itum",verb,"to guard, watch over, keep safe; to take heed, care, observe",4.1,N/A,N/A,0,N/A
"custos, -odis (m.)",noun,"guard, sentry, protector; doorkeeper, watchman",5.4,5.4,N/A,2,622
"Danai, -orum (pl.)",noun (proper),"the Danaans, the Greeks",4.4,4.4,N/A,4,N/A
"dea, -ae (f.)",noun,goddess,1.1,4.4,N/A,5,42
"debeo, -ere, -ui, -itum",verb,"to owe, be in debt; ought, must, should",2.3,2.3,N/A,5,155
"Decius, -i (m.)",noun (proper),a Roman male name (nomen – name of a Roman gens),1.1,N/A,N/A,0,N/A
"defendo, -ere, -i, defensum",verb,"to defend, guard, protect, look after; repel, ward off, prevent; support, preserve",3.4,N/A,N/A,0,653
"defessus, -a, -um",adjective,"worn out, weary, tired; weakened",4.1,N/A,N/A,0,N/A
"delecto, -are, -avi, -atum",verb,"to delight, please, amuse, fascinate; charm, lure, entice; enjoy",3.6,3.6,N/A,1,N/A
"deleo, -ere, -evi, -etum",verb,"to erase, remove, delete; abolish",3.6,N/A,N/A,0,N/A
"demonstro, -are, -avi, -atum",verb,"to point out/at/to, draw attention to; to explain, describe; reveal, mention, refer to; prove, demonstrate",4.1,N/A,N/A,0,N/A
"densus, -a, -um",adjective,"thick, close, compact, dense, crowded",2.1,2.1,N/A,3,N/A
"descendo, -ere, -i, descensum",verb,"to descend, go down; to dismount; to penetrate, sink",2.3,2.3,N/A,1,802
"desero, -ere, -ui, -tum",verb,"to leave, forsake, abandon, desert, give up",1.2,2.2,6.1,5,544
"desum, -esse, -fui",verb,"to be away, be absent, fail, be wanting, be missing",2.4,2.4,N/A,2,463
"detineo, -ere, -ui, -tentum",verb,"to hold off, keep back, detain, check",2.3,2.3,N/A,3,N/A
"deus, -i (m.)",noun,"god, deity",1.1,2.1,N/A,12,42
"devoro, -are, -avi, -atum",verb,"to devour, swallow up, overwhelm, destroy; to use up, consume",6.1,N/A,N/A,0,N/A
"dexter, -tera, -terum, (or -tra, -trum)",adjective,"to the right, on the right side, right",3.6,N/A,N/A,0,260
"dextra (dextera), -ae (f.)",noun,right hand,4.4,4.5,6.1,6,N/A
"Diana, -ae (f.)",noun (proper),"Diana, the goddess of the moon, daughter of Jupiter and Latona and twin sister of Apollo",4.4,4.5,N/A,3,N/A
"dico, -ere, dixi, dictum",verb,"to say, speak, utter, tell, mention, relate, affirm, declare, state, assert",1.1,3.1,N/A,6,33
"Dido, -onis (f.)",noun (proper),"Dido, queen of Carthage",4.4,4.5,N/A,8,N/A
"dies, -ei (m. or f.)",noun,"day, daylight",1.2,2.2,N/A,14,54
"difficilis, -e",adjective,"difficult, troublesome; hard to please or deal with",4.1,N/A,N/A,0,861
"digitus, -i (m.)",noun,finger; toe; finger’s breadth,3.1,3.2,N/A,1,N/A
"dignus, -a, -um",adjective,"worthy, deserving, deserved, suitable, fitting, proper",2.4,2.4,N/A,5,291
"diligens, -entis",adjective,careful; diligent; accurate; industrious,4.1,N/A,N/A,0,N/A
"diligentia, -ae (f.)",noun,"diligence, care, attentiveness; frugality; efficiency",4.1,N/A,N/A,0,N/A
"discedo, -ere, -cessi, -cessum",verb,"to go off, depart, withdraw; scatter; abandon",2.4,2.4,N/A,1,726
"discipulus, -i (m.)",noun,"student, follower",4.1,N/A,N/A,0,N/A
"disco, -ere, didici",verb,"to learn, learn to know, acquire, become acquainted with",3.1,3.1,N/A,1,465
"dissimilis, -e",adjective,"unlike, different, dissimilar",4.6,N/A,N/A,0,N/A
"diva, -ae (f.)",noun,goddess,4.4,4.5,N/A,3,N/A
"dives, -itis",adjective,rich; costly; productive (land); talented,5.1,N/A,N/A,0,564
"divus, -i (m.)",noun,"god, a deity",4.6,4.6,N/A,5,N/A
"do, dare, dedi, datum",verb,"to give, hand over, deliver, give up, pay, surrender, grant",1.1,2.1,N/A,17,28
"doceo, -ere, -ui, -ctum",verb,"to teach, instruct, inform, show, prove, convince, tell",3.1,3.1,N/A,2,393
"doleo, -ere, -ui, -itum",verb,"to hurt, feel pain; grieve; be pained, sorry; cause pain (to)",4.4,4.4,N/A,1,785
"dolor, -oris (m.)",noun,"pain, ache, suffering, anguish",4.4,4.4,N/A,3,193
"domina, -ae (f.)",noun,"mistress, lady, she who rules; a female slave-owner",3.6,N/A,N/A,0,241
"dominus, -i (m.)",noun,"master, possessor, ruler, lord, owner; a male slave-owner",3.4,3.4,N/A,5,241
"domus, -us or -i (f.)",noun,"house, home, dwelling-house, building, mansion, palace",1.2,2.1,N/A,14,73
"donum, -i (n.)",noun,"gift, present",4.6,4.6,N/A,3,476
"dormio, -ire, -ivi, -itum",verb,"to sleep, rest; do nothing",3.1,3.2,N/A,1,975
"dubius, -a, -um",adjective,"moving two ways, doubting, doubtful, dubious, uncertain",2.3,2.3,N/A,3,528
"duco, -ere, -xi, -ctum",verb,"to lead, conduct, guide, direct, draw, bring, fetch, escort",3.1,3.1,N/A,8,133
"dulcis, -e",adjective,sweet,5.1,5.1,N/A,4,383
"duo, -ae, -o",adjective,two,1.1,2.2,N/A,3,221
"durus, -a, -um",adjective,"hard (to the touch); harsh, rough, stern, unyielding, unfeeling",5.3,5.3,N/A,2,249
"dux, ducis (m.)",noun,"leader, conductor, guide",5.1,5.1,N/A,1,239
"effundo, -ere, -fudi, -fusum",verb,"to pour out, pour forth, shed, spread abroad",2.4,2.4,N/A,4,719
"ego, mei, mihi, me, me",pronoun,"I, me",1.1,2.1,N/A,63,11
"egredior, -gredi, -gressus sum",verb,"to go out, come forth, march out, go away",2.1,2.1,6.2,4,912
"emo, -ere, emi, emptum",verb,"to buy; gain, acquire",3.1,3.1,N/A,1,N/A
"eo, ire, ivi or ii, itum",verb,"to go, walk, ride, sail, fly, move, pass",1.3,3.1,N/A,8,97
"epistula, -ae (f.)",noun,"written communication, letter",1.4,2.2,N/A,5,951
"eques, -itis (m.)",noun,"horseman, rider; cavalryman, horse-soldier, trooper; member of the Equestrian social class",5.4,5.4,N/A,1,296
"equus, -i (m.)",noun,horse,4.6,4.6,N/A,1,248
"eripio, -ere, -ipui, -eptum",verb,"to tear out, snatch away, pluck, tear, take away",1.4,2.1,N/A,4,349
"erro, -are, -avi, -atum",verb,"to wander, stray, roam; be in error, err, mistake, go wrong, go astray",4.4,4.4,N/A,2,402
"ex, e",preposition,"(with abl.) out of, from",1.1,2.1,N/A,21,26
"excipio, -ere, -cepi, -ceptum",verb,"to take out, withdraw; except, make an exception, stipulate, reserve",5.1,N/A,N/A,0,394
"excito, -are, -avi, -atum",verb,"to call out, summon forth, bring out, wake, rouse",1.2,2.2,6.2,4,N/A
"exemplum, -i (n.)",noun,"example, sample; instance; precedent, case; warning, deterrent",5.3,N/A,N/A,0,519
"exerceo, -ere, -ui, -itum",verb,"to exercise, practice; enforce, administer; cultivate",4.4,4.5,N/A,2,576
"exercitus, -us (m.)",noun,"disciplined body of men, army",3.4,N/A,N/A,0,267
